genome	test_name	ref_filename	assembly_filename	ref_length	assembly_length	overall_errors	overall_identity	overall_qscore	substitutions	insertions	deletions	repeat_errors	repeat_identity	repeat_qscore	non_repeat_errors	non_repeat_identity	non_repeat_qscore	repeat_percentage	repeat_error_balance	homopolymer_errors	non_homopolymer_errors	lowest_100_bp_identity	lowest_1000_bp_identity	prodigal_count	total_prodigal_length	mean_prodigal_length	total_mapq	total_alignment_score	ale_score	ale_place_avg	ale_insert_avg	ale_kmer_avg	ale_depth_score_avg
NC_000964.3	reference	reference_genomes/NC_000964.3.fasta	reference_genomes/NC_000964.3.fasta	4215606	4215606	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.28%		0	0	100%	100.0%	4226	1237056	292.725	166874600	414046815	-3318400.613515	-2.016904	-0.281837	-0.111542	0.090617
NC_001318.1	reference	reference_genomes/NC_001318.1.fasta	reference_genomes/NC_001318.1.fasta	910724	910724	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	0.95%		0	0	100%	100.0%	825	282825	342.818	36195066	89447158	-976547.394609	-2.087819	-0.286507	-0.379822	0.098974
NC_002163.1	reference	reference_genomes/NC_002163.1.fasta	reference_genomes/NC_002163.1.fasta	1641481	1641481	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.18%		0	0	100%	100.0%	1658	513935	309.973	64460612	161221187	-1733505.769598	-2.037681	-0.281740	-0.370168	0.087246
NC_002516.2	reference	reference_genomes/NC_002516.2.fasta	reference_genomes/NC_002516.2.fasta	6264404	6264404	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.77%		0	0	100%	100.0%	5681	1874507	329.961	248353147	615257084	-5731473.840496	-2.020685	-0.281267	-0.240954	0.093342
NC_002528.1	reference	reference_genomes/NC_002528.1.fasta	reference_genomes/NC_002528.1.fasta	640681	640681	0	100.000000000%	inf	0	0	0	0			0	100.000000000%	inf	0.00%		0	0	100%	100.0%	583	187413	321.463	25630080	62922739	-742581.112122	-2.099012	-0.288693	-0.455654	0.092502
NC_002662.1	reference	reference_genomes/NC_002662.1.fasta	reference_genomes/NC_002662.1.fasta	2365589	2365589	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	6.37%		0	0	100%	100.0%	2383	681120	285.825	91725232	232334307	-2150626.610739	-2.032679	-0.283139	-0.226366	0.089171
NC_002677.1	reference	reference_genomes/NC_002677.1.fasta	reference_genomes/NC_002677.1.fasta	3268203	3268203	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.76%		0	0	100%	100.0%	3999	751268	187.864	128070823	320985614	-2498778.696406	-2.028087	-0.282644	-0.083102	0.088772
NC_002695.2	reference	reference_genomes/NC_002695.2.fasta	reference_genomes/NC_002695.2.fasta	5498578	5498578	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	9.79%		0	0	100%	100.0%	5299	1608221	303.495	210293475	540043015	-4043841.219232	-2.021729	-0.281680	-0.057553	0.089920
NC_002696.2	reference	reference_genomes/NC_002696.2.fasta	reference_genomes/NC_002696.2.fasta	4016947	4016947	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.88%		0	0	100%	100.0%	3704	1193469	322.211	159148350	394513723	-3782711.374924	-2.027164	-0.281737	-0.259859	0.087803
NC_002737.2	reference	reference_genomes/NC_002737.2.fasta	reference_genomes/NC_002737.2.fasta	1852433	1852433	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	4.29%		0	0	100%	100.0%	1776	529495	298.139	72374771	181933985	-1521729.190412	-2.033795	-0.283432	-0.139667	0.090627
NC_002929.2	reference	reference_genomes/NC_002929.2.fasta	reference_genomes/NC_002929.2.fasta	4086189	4086189	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	9.00%		0	0	100%	100.0%	3888	1231832	316.829	154150818	401328639	-4048480.708536	-2.022690	-0.281862	-0.308017	0.085441
NC_002932.3	reference	reference_genomes/NC_002932.3.fasta	reference_genomes/NC_002932.3.fasta	2154946	2154946	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.73%		0	0	100%	100.0%	2009	627589	312.389	85350935	211648759	-1677355.092501	-2.025837	-0.283663	-0.095164	0.086623
NC_002937.3	reference	reference_genomes/NC_002937.3.fasta	reference_genomes/NC_002937.3.fasta	3570858	3570858	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.52%		0	0	100%	100.0%	3153	1024299	324.865	141370710	350712276	-2901916.306062	-2.027242	-0.282234	-0.133319	0.090477
NC_002939.5	reference	reference_genomes/NC_002939.5.fasta	reference_genomes/NC_002939.5.fasta	3814128	3814128	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.32%		0	0	100%	100.0%	3417	1155408	338.135	150718598	374608470	-3040477.561797	-2.024102	-0.282225	-0.117473	0.089101
NC_002942.5	reference	reference_genomes/NC_002942.5.fasta	reference_genomes/NC_002942.5.fasta	3397754	3397754	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.15%		0	0	100%	100.0%	3024	1003308	331.782	134574669	333704557	-2834872.658502	-2.023879	-0.282561	-0.158224	0.092720
NC_002946.2	reference	reference_genomes/NC_002946.2.fasta	reference_genomes/NC_002946.2.fasta	2153922	2153922	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	10.68%		0	0	100%	100.0%	2142	598200	279.272	82319322	211554326	-1743521.503186	-2.039694	-0.283418	-0.125007	0.089910
NC_002947.4	reference	reference_genomes/NC_002947.4.fasta	reference_genomes/NC_002947.4.fasta	6181873	6181873	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	4.07%		0	0	100%	100.0%	5584	1827912	327.348	242964208	607150116	-5110946.611061	-2.022961	-0.281568	-0.149676	0.091097
NC_002967.9	reference	reference_genomes/NC_002967.9.fasta	reference_genomes/NC_002967.9.fasta	2843201	2843201	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	4.63%		0	0	100%	100.0%	2578	870013	337.476	112487425	279245864	-2619858.615014	-2.027498	-0.282721	-0.245938	0.094561
NC_002971.4	reference	reference_genomes/NC_002971.4.fasta	reference_genomes/NC_002971.4.fasta	1995488	1995488	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.87%		0	0	100%	100.0%	2012	592179	294.324	78541733	195984938	-1640461.489346	-2.042710	-0.283595	-0.138289	0.091635
NC_003030.1	reference	reference_genomes/NC_003030.1.fasta	reference_genomes/NC_003030.1.fasta	3940880	3940880	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.36%		0	0	100%	100.0%	3715	1135794	305.732	155351619	387062217	-3702876.632951	-2.018972	-0.281793	-0.259350	0.086679
NC_003047.1	reference	reference_genomes/NC_003047.1.fasta	reference_genomes/NC_003047.1.fasta	3654135	3654135	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.77%		0	0	100%	100.0%	3391	1052147	310.276	143694647	358889394	-3194898.873561	-2.027230	-0.282748	-0.193684	0.089352
NC_003098.1	reference	reference_genomes/NC_003098.1.fasta	reference_genomes/NC_003098.1.fasta	2038615	2038615	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	7.34%		0	0	100%	100.0%	1992	582907	292.624	80238510	200215458	-1641974.581755	-2.040209	-0.283904	-0.119190	0.088481
NC_003143.1	reference	reference_genomes/NC_003143.1.fasta	reference_genomes/NC_003143.1.fasta	4653728	4653728	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	7.54%		0	0	100%	100.0%	4098	1299627	317.137	179312461	457076383	-3373345.127192	-2.020924	-0.281449	-0.049205	0.091806
NC_003197.2	reference	reference_genomes/NC_003197.2.fasta	reference_genomes/NC_003197.2.fasta	4857450	4857450	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.42%		0	0	100%	100.0%	4513	1415488	313.647	191540740	477084607	-3646630.510078	-2.016219	-0.281799	-0.077231	0.092519
NC_003210.1	reference	reference_genomes/NC_003210.1.fasta	reference_genomes/NC_003210.1.fasta	2944528	2944528	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	1.86%		0	0	100%	100.0%	2875	876610	304.908	116484102	289202318	-2504075.369710	-2.025017	-0.282746	-0.171555	0.090389
NC_003450.3	reference	reference_genomes/NC_003450.3.fasta	reference_genomes/NC_003450.3.fasta	3309401	3309401	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.60%		0	0	100%	100.0%	3071	963928	313.881	130170268	325037963	-2412771.066225	-2.024159	-0.282880	-0.048668	0.088632
NC_003454.1	reference	reference_genomes/NC_003454.1.fasta	reference_genomes/NC_003454.1.fasta	2174500	2174500	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	5.22%		0	0	100%	100.0%	2022	658795	325.814	84545475	213572289	-2202177.630466	-2.028977	-0.284245	-0.329822	0.088163
NC_003888.3	reference	reference_genomes/NC_003888.3.fasta	reference_genomes/NC_003888.3.fasta	8667507	8667507	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.42%		0	0	100%	100.0%	7738	2557766	330.546	342077356	851285574	-8200432.574884	-2.013369	-0.281424	-0.271472	0.090307
NC_003902.1	reference	reference_genomes/NC_003902.1.fasta	reference_genomes/NC_003902.1.fasta	5076188	5076188	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	4.31%		0	0	100%	100.0%	4292	1445921	336.887	199881487	498567668	-4596147.342669	-2.016117	-0.281669	-0.234936	0.095430
NC_003997.3	reference	reference_genomes/NC_003997.3.fasta	reference_genomes/NC_003997.3.fasta	5227293	5227293	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.46%		0	0	100%	100.0%	5474	1467903	268.159	207038727	513404732	-4506944.158966	-2.017976	-0.281638	-0.186053	0.090396
NC_004113.1	reference	reference_genomes/NC_004113.1.fasta	reference_genomes/NC_004113.1.fasta	2593857	2593857	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	6.21%		0	0	100%	100.0%	2520	777852	308.671	101222755	254748978	-1954123.153680	-2.041699	-0.283409	-0.067479	0.089146
NC_004116.1	reference	reference_genomes/NC_004116.1.fasta	reference_genomes/NC_004116.1.fasta	2160267	2160267	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	4.32%		0	0	100%	100.0%	2106	632177	300.179	83848436	212172256	-1840982.231136	-2.037250	-0.283512	-0.170519	0.091900
NC_004307.2	reference	reference_genomes/NC_004307.2.fasta	reference_genomes/NC_004307.2.fasta	2256640	2256640	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.36%		0	0	100%	100.0%	1830	654177	357.474	88349846	221632315	-1825681.160768	-2.045158	-0.283666	-0.119895	0.087140
NC_004337.2	reference	reference_genomes/NC_004337.2.fasta	reference_genomes/NC_004337.2.fasta	4607202	4607202	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	11.59%		0	0	100%	100.0%	4727	1331466	281.673	171602406	452496488	-3392856.178083	-2.021877	-0.281644	-0.057507	0.088934
NC_004347.2	reference	reference_genomes/NC_004347.2.fasta	reference_genomes/NC_004347.2.fasta	4969811	4969811	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	7.62%		0	0	100%	100.0%	4423	1412879	319.439	191246765	488115691	-3648902.590063	-2.018895	-0.281532	-0.056333	0.088926
NC_004350.2	reference	reference_genomes/NC_004350.2.fasta	reference_genomes/NC_004350.2.fasta	2032925	2032925	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.67%		0	0	100%	100.0%	1897	580688	306.109	79635611	199666411	-1756773.461752	-2.037105	-0.283761	-0.178413	0.087872
NC_004461.1	reference	reference_genomes/NC_004461.1.fasta	reference_genomes/NC_004461.1.fasta	2499279	2499279	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	4.53%		0	0	100%	100.0%	2283	692053	303.133	98203910	245474597	-2285536.903991	-2.028317	-0.283586	-0.228600	0.084753
NC_004463.1	reference	reference_genomes/NC_004463.1.fasta	reference_genomes/NC_004463.1.fasta	9105828	9105828	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.89%		0	0	100%	100.0%	8498	2586477	304.363	359828914	894325245	-8165407.725168	-2.012810	-0.281622	-0.219743	0.087838
NC_004567.2	reference	reference_genomes/NC_004567.2.fasta	reference_genomes/NC_004567.2.fasta	3308273	3308273	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.58%		0	0	100%	100.0%	3089	930191	301.130	130699100	324926070	-2452912.544292	-2.025397	-0.282614	-0.066644	0.094531
NC_004578.1	reference	reference_genomes/NC_004578.1.fasta	reference_genomes/NC_004578.1.fasta	6397126	6397126	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	6.57%		0	0	100%	100.0%	5706	1873412	328.323	247054653	628301279	-5013591.227773	-2.016927	-0.281471	-0.108180	0.090606
NC_004663.1	reference	reference_genomes/NC_004663.1.fasta	reference_genomes/NC_004663.1.fasta	6260361	6260361	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.41%		0	0	100%	100.0%	4901	1875841	382.747	247245770	614863364	-4692596.575992	-2.015508	-0.281704	-0.075314	0.091486
NC_004668.1	reference	reference_genomes/NC_004668.1.fasta	reference_genomes/NC_004668.1.fasta	3218031	3218031	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	4.08%		0	0	100%	100.0%	3121	942535	301.998	127058274	316064911	-2809297.643824	-2.030807	-0.282751	-0.187384	0.085582
NC_004722.1	reference	reference_genomes/NC_004722.1.fasta	reference_genomes/NC_004722.1.fasta	5411809	5411809	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.69%		0	0	100%	100.0%	5516	1513730	274.425	213530603	531523602	-4694603.603023	-2.023279	-0.281599	-0.187803	0.088622
NC_005027.1	reference	reference_genomes/NC_005027.1.fasta	reference_genomes/NC_005027.1.fasta	7145576	7145576	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.30%		0	0	100%	100.0%	5479	2116999	386.384	282936906	701813871	-5486448.624786	-2.015313	-0.281424	-0.092567	0.090344
NC_005042.1	reference	reference_genomes/NC_005042.1.fasta	reference_genomes/NC_005042.1.fasta	1751080	1751080	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	0.44%		0	0	100%	100.0%	1908	520189	272.636	70025972	171982112	-1483696.195133	-2.039643	-0.284111	-0.159391	0.086667
NC_005125.1	reference	reference_genomes/NC_005125.1.fasta	reference_genomes/NC_005125.1.fasta	4659019	4659019	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.25%		0	0	100%	100.0%	4517	1384352	306.476	185109915	457578637	-3848915.446538	-2.021870	-0.281317	-0.148426	0.090033
NC_005945.1	reference	reference_genomes/NC_005945.1.fasta	reference_genomes/NC_005945.1.fasta	5228663	5228663	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.49%		0	0	100%	100.0%	5471	1468415	268.400	207086915	513527084	-4515161.423172	-2.020083	-0.281590	-0.186033	0.089728
NC_006055.1	reference	reference_genomes/NC_006055.1.fasta	reference_genomes/NC_006055.1.fasta	793224	793224	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.48%		0	0	100%	100.0%	1475	181021	122.726	31295163	77907123	-825324.111296	-2.111184	-0.289220	-0.333709	0.093365
NC_006347.1	reference	reference_genomes/NC_006347.1.fasta	reference_genomes/NC_006347.1.fasta	5277274	5277274	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.80%		0	0	100%	100.0%	4373	1565310	357.949	209029372	518311332	-3954764.775227	-2.014233	-0.281528	-0.071546	0.087404
NC_006461.1	reference	reference_genomes/NC_006461.1.fasta	reference_genomes/NC_006461.1.fasta	1849742	1849742	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	1.82%		0	0	100%	100.0%	1943	585482	301.329	73273903	181675221	-1804734.831677	-2.040946	-0.284123	-0.299117	0.098470
NC_006570.2	reference	reference_genomes/NC_006570.2.fasta	reference_genomes/NC_006570.2.fasta	1892775	1892775	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	7.99%		0	0	100%	100.0%	2031	562808	277.109	70985110	185904136	-1716402.144438	-2.037957	-0.284331	-0.221385	0.088662
NC_006814.3	reference	reference_genomes/NC_006814.3.fasta	reference_genomes/NC_006814.3.fasta	1993560	1993560	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.96%		0	0	100%	100.0%	1880	588757	313.169	78699657	195798708	-1758680.513823	-2.045510	-0.284060	-0.193506	0.087848
NC_007005.1	reference	reference_genomes/NC_007005.1.fasta	reference_genomes/NC_007005.1.fasta	6093698	6093698	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	4.26%		0	0	100%	100.0%	5207	1787909	343.366	242033556	598502425	-4815608.157657	-2.015915	-0.281515	-0.116241	0.091811
NC_007606.1	reference	reference_genomes/NC_007606.1.fasta	reference_genomes/NC_007606.1.fasta	4369232	4369232	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	16.29%		0	0	100%	100.0%	4977	1242865	249.722	160000446	429134682	-3262187.384308	-2.022269	-0.281957	-0.058955	0.080417
NC_007643.1	reference	reference_genomes/NC_007643.1.fasta	reference_genomes/NC_007643.1.fasta	4352825	4352825	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.22%		0	0	100%	100.0%	3843	1284428	334.225	173148992	427512685	-4036633.335595	-2.022807	-0.281817	-0.249435	0.090282
NC_007644.1	reference	reference_genomes/NC_007644.1.fasta	reference_genomes/NC_007644.1.fasta	2628784	2628784	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.38%		0	0	100%	100.0%	2640	773397	292.953	104300730	258186205	-2117281.121701	-2.024757	-0.282811	-0.127443	0.091208
NC_007677.1	reference	reference_genomes/NC_007677.1.fasta	reference_genomes/NC_007677.1.fasta	3551823	3551823	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	1.81%		0	0	100%	100.0%	3007	1011012	336.219	141651486	348848408	-3090513.075415	-2.028945	-0.282644	-0.187201	0.087610
NC_007795.1	reference	reference_genomes/NC_007795.1.fasta	reference_genomes/NC_007795.1.fasta	2821361	2821361	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	4.49%		0	0	100%	100.0%	2631	788381	299.651	111723954	277096600	-2543796.760844	-2.028157	-0.282646	-0.217029	0.085673
NC_007929.1	reference	reference_genomes/NC_007929.1.fasta	reference_genomes/NC_007929.1.fasta	1827111	1827111	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	6.16%		0	0	100%	100.0%	1773	532653	300.425	70762247	179452860	-1622587.735191	-2.042515	-0.283602	-0.201590	0.088898
NC_008526.1	reference	reference_genomes/NC_008526.1.fasta	reference_genomes/NC_008526.1.fasta	2895264	2895264	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	7.12%		0	0	100%	100.0%	2810	820309	291.925	111178960	284361515	-2172841.102789	-2.021775	-0.282834	-0.071664	0.089383
NC_008570.1	reference	reference_genomes/NC_008570.1.fasta	reference_genomes/NC_008570.1.fasta	4744448	4744448	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.55%		0	0	100%	100.0%	4188	1380495	329.631	187355457	465978363	-3936913.147838	-2.020320	-0.281650	-0.153242	0.090771
NC_008596.1	reference	reference_genomes/NC_008596.1.fasta	reference_genomes/NC_008596.1.fasta	6988209	6988209	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	4.50%		0	0	100%	100.0%	6690	2154236	322.008	270615398	686355495	-6268098.756175	-2.012035	-0.281398	-0.223023	0.090555
NC_008800.1	reference	reference_genomes/NC_008800.1.fasta	reference_genomes/NC_008800.1.fasta	4615899	4615899	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	4.51%		0	0	100%	100.0%	4168	1310478	314.414	181299764	453353802	-3379929.961306	-2.016120	-0.281553	-0.056204	0.089857
NC_009009.1	reference	reference_genomes/NC_009009.1.fasta	reference_genomes/NC_009009.1.fasta	2388435	2388435	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	3.23%		0	0	100%	100.0%	2274	708264	311.462	94716162	234580191	-1834759.826471	-2.021638	-0.282951	-0.092160	0.092172
NC_009089.1	reference	reference_genomes/NC_009089.1.fasta	reference_genomes/NC_009089.1.fasta	4290252	4290252	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	6.60%		0	0	100%	100.0%	3819	1185530	310.429	166728221	421358485	-4118592.293688	-2.020871	-0.281961	-0.278521	0.086141
NC_009495.1	reference	reference_genomes/NC_009495.1.fasta	reference_genomes/NC_009495.1.fasta	3886916	3886916	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	4.15%		0	0	100%	100.0%	3548	1056118	297.666	153580779	381762723	-3893055.702587	-2.017721	-0.282013	-0.327818	0.092814
NC_009613.3	reference	reference_genomes/NC_009613.3.fasta	reference_genomes/NC_009613.3.fasta	2860382	2860382	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	6.66%		0	0	100%	100.0%	2514	829916	330.118	110895837	280931786	-2827660.705104	-2.030716	-0.282501	-0.307512	0.090023
NC_009636.1	reference	reference_genomes/NC_009636.1.fasta	reference_genomes/NC_009636.1.fasta	3781904	3781904	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	1.74%		0	0	100%	100.0%	3602	1105066	306.792	150071681	371444611	-3210678.882604	-2.029343	-0.282252	-0.168547	0.090117
NC_010175.1	reference	reference_genomes/NC_010175.1.fasta	reference_genomes/NC_010175.1.fasta	5258541	5258541	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	6.56%		0	0	100%	100.0%	4336	1471008	339.255	209083078	516467994	-3975882.011512	-2.020958	-0.281624	-0.079848	0.091293
NC_010397.1	reference	reference_genomes/NC_010397.1.fasta	reference_genomes/NC_010397.1.fasta	5067172	5067172	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	0.99%		0	0	100%	100.0%	4963	1570718	316.486	202595424	497675438	-4293162.431064	-2.024191	-0.281612	-0.167110	0.088460
NC_011661.1	reference	reference_genomes/NC_011661.1.fasta	reference_genomes/NC_011661.1.fasta	1855560	1855560	0	100.000000000%	inf	0	0	0	0	100.000000000%	inf	0	100.000000000%	inf	2.15%		0	0	100%	100.0%	1818	582765	320.553	73577548	182243556	-1681465.533595	-2.040628	-0.284126	-0.223821	0.092561
